,"Quarter Ended September 28, 2024.Entertainment","Quarter Ended September 28, 2024.Sports","Quarter Ended September 28, 2024.DTC Streaming Businesses",,,
Linear Networks,$498,$861,,,,
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),253,68,,,,
Content Sales/Licensing and Other,316,,,,,
Segment operating income,"$1,067",$929,,,,
,Ended Year,Ended Year,Ended Year,Ended Year,Ended Year,Ended Year
,"September 28, 2024","September 28, 2024","September 28, 2024","September 30, 2023","September 30, 2023","September 30, 2023"
,Entertainment,Sports,DTC Streaming Businesses,Entertainment,Sports,DTC Streaming Businesses
Linear Networks,"$3,452","$2,415",,"$4,119","$2,581",
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),143,(9),$134,"(2,496)",(116),
Content Sales/Licensing and Other,328,,,(179),,
Segment operating income,"$3,923","$2,406",,"$1,444","$2,465",
